,city,hot,num,level_sum,lati
118,舟山,1.0,1332,1,"122.207215,29.985295"
119,芜湖,1.76,2916,4,"118.432941,31.352859"
120,花莲,0.0,162,2,"110.519630,23.805010"
121,苏州,4.4,4700,6,"120.585315,31.298886"
122,萍乡,1.0,402,1,"113.854556,27.622768"
123,衡阳,1.0,316,1,"112.571997,26.893230"
124,西双版纳,3.52,1164,4,"100.797777,22.007351"
125,西宁,3.3200000000000003,3753,7,"101.778228,36.617144"
126,西安,7.220000000000001,18995,11,"108.940174,34.341568"
127,许昌,0.82,810,1,"113.852640,34.035506"
128,贵阳,2.34,562,3,"106.630153,26.647661"
129,贺州,1.0,312,1,"111.566694,24.403582"
130,赣州,0.7,2052,1,"114.935029,25.831829"
131,赤峰,0.9,6,1,"118.886856,42.257817"
132,迪庆,0.8800000000000001,464,1,"99.702234,27.818882"
133,遵义,0.74,82,1,"106.927389,27.725654"
134,那曲,1.0,258,1,"92.051239,31.476202"
135,郑州,2.62,9100,6,"113.625368,34.746599"
136,郴州,0.86,208,1,"113.014717,25.770509"
137,鄂尔多斯,1.54,380,4,"109.781327,39.608266"
138,酒泉,4.0,2484,6,"98.494483,39.732410"
139,重庆,4.5600000000000005,6475,15,"106.551556,29.563009"
140,金华,1.0,2052,2,"119.647444,29.079059"
141,铜仁,1.7,776,2,"109.189598,27.731514"
142,银川,4.88,1242,10,"106.230909,38.487193"
143,长春,2.7800000000000002,678,6,"125.323544,43.817071"
144,长沙,0.72,1634,3,"112.938814,28.228209"
145,长治,1.0,146,1,"113.116255,36.195386"
146,阿克苏地区,0.78,24,1,"80.260605,41.168779"
147,阿勒泰,1.72,1484,2,"88.141253,47.844924"
148,阿拉善盟,0.0,230,3,"105.728969,38.851892"
149,陵水,1.0,534,1,"110.037503,18.506048"
150,青岛,4.52,3570,6,"120.382639,36.067082"
151,韶关,1.0,220,1,"113.597522,24.810403"
152,香港,5.14,7086,15,"114.163825,22.276284"
153,鹰潭,0.7,164,1,"117.069202,28.260189"
154,黄冈,0.9,138,2,"114.872316,30.453905"
155,黄南藏族自治州,1.0,60,1,"102.015248,35.519548"
156,黄山,3.92,14134,8,"118.337481,29.714655"
157,黔东南,1.0,938,1,0
158,黔南,1.7,1110,3,0
159,黔西南,0.7,60,1,0
